X	Y	nZxy
-1290	-1470	373.263169151274
-1290	-150	120.84867740581
-1290	-150.001	180.848641356182
-1290	-1530	431.10019150334
-1290	-1590	488.937213855407
-1290	-1650	546.774236207473
-1290	-1710	604.61125855954
-1290	-1770	602.448280911606
-1290	-1830	660.285303263673
-1290	-1890	718.122325615739
-1290	-1950	775.959347967806
-1290	-2010	833.796370319872
-1290	-2070	891.633392671939
-1290	-210	118.685699757877
-1290	-2130	949.470415024005
-1290	-2190	1007.30743737607
-1290	-2250	1065.14445972814
-1290	-2310	1122.9814820802
-1290	-2370	1120.81850443227
-1290	-2430	1178.65552678434
-1290	-2490	1236.4925491364
-1290	-270	176.522722109943
-1290	-29.9998	65.1746399116025
-1290	-30	65.174632701677
-1290	-30.0005	125.174614676863
-1290	-330	174.35974446201
-1290	-390	172.196766814076
-1290	-450	170.033789166143
-1290	-510	167.870811518209
-1290	-570	165.707833870276
-1290	-630	163.544856222342
-1290	-690	161.381878574409
-1290	-750	159.218900926475
-1290	-810	157.055923278542
-1290	-870	214.892945630608
-1290	-89.9995	123.011673078557
-1290	-89.9998	63.011662263669
-1290	-90	63.0116550537434
-1290	-90.0005	123.01163702893
-1290	-930	212.729967982675
-1290	-990	210.566990334741
-1290	1050	164.10823036448
-1290	1110	226.271208012413
-1290	1170	228.434185660346
-1290	1230	230.59716330828
-1290	1290	232.760140956213
-1290	1350	234.923118604147
-1290	1410	297.086096252081
-1290	1470	299.249073900014
-1290	150	11.6635656454773
-1290	1530	301.412051547947
-1290	1590	363.575029195881
-1290	1650	365.738006843814
-1290	1710	427.900984491748
-1290	1770	430.063962139681
-1290	1830	492.226939787615
-1290	1890	494.389917435548
-1290	1950	556.552895083482
-1290	2010	558.715872731415
-1290	2070	560.878850379349
-1290	210	13.8265432934109
-1290	2130	563.041828027282
-1290	2190	625.204805675216
-1290	2250	627.367783323149
-1290	2310	629.530760971083
-1290	2370	631.693738619016
-1290	2430	633.85671626695
-1290	2490	696.019693914883
-1290	2550	698.182671562816
-1290	2610	640.34564921075
-1290	2670	642.508626858684
-1290	270	15.9895209413444
-1290	2730	644.671604506617
-1290	2790	646.83458215455
-1290	2850	648.997559802484
-1290	29.9995	127.337592324797
-1290	2910	651.160537450417
-1290	2970	653.323515098351
-1290	30	67.3376103496105
-1290	30.0002	67.3376175595361
-1290	3030	655.486492746284
-1290	3090	657.649470394218
-1290	3150	659.812448042151
-1290	3210	661.975425690085
-1290	3270	664.138403338018
-1290	330	18.1524985892779
-1290	3330	666.301380985952
-1290	3390	668.464358633885
-1290	3450	610.627336281819
-1290	3510	612.790313929752
-1290	3570	614.953291577686
-1290	3630	617.116269225619
-1290	3690	619.279246873553
-1290	3750	561.442224521486
-1290	3810	563.605202169419
-1290	3870	505.768179817353
-1290	390	20.3154762372114
-1290	3930	507.931157465287
-1290	3990	450.09413511322
-1290	4050	392.257112761153
-1290	4110	334.420090409087
-1290	4170	276.58306805702
-1290	4230	278.746045704954
-1290	4290	220.909023352887
-1290	4350	223.072001000821
-1290	4410	165.234978648754
-1290	4470	167.397956296688
-1290	450	22.4784538851447
-1290	4530	109.560933944621
-1290	4590	111.723911592555
-1290	4650	53.8868892404882
-1290	4710	56.0498668884218
-1290	4770	-1.78715546364469
-1290	4830	0.375822184288609
-1290	4890	-57.4612001677779
-1290	4950	-55.2982225198443
